"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","diffexpressed","difflabel"
"C4orf17",0,NA,NA,NA,NA,NA,"NO",NA
"TRMT10A",223.573825696416,-0.653002290966091,0.308630636677332,-2.11580515141403,0.0343613828041782,0.1659616687102,"NO",NA
"MTTP",132.749450224377,-1.31646093199088,0.320913805601979,-4.10222592175937,4.09194430129138e-05,0.00243546933336178,"DOWN",NA
"C4orf54",3.65636091345414,1.71867165354918,1.39728252836278,1.23001012226423,0.218693314382229,0.459250814961882,"NO",NA
"DAPP1",5.81007968932982,3.24645456109648,1.29145233259735,2.51380130660127,0.0119437703492943,0.0938894006333987,"UP",NA
"LAMTOR3",839.050734888536,-0.356129189937091,0.211080916176541,-1.68716905529838,0.0915708497694534,0.285497858440145,"NO",NA
"DNAJB14",726.311754082907,-0.513896513031748,0.300904686088583,-1.70783818527991,0.0876663715735643,0.278386514511377,"NO",NA
"H2AZ1",12693.1939659239,-0.195410362481154,0.264242729383203,-0.739510838906645,0.459596860511704,0.685494299809554,"NO",NA
"H2AZ1-DT",2.05078197146219,-0.907282465285413,1.97665372993709,-0.458999192192498,0.64623474617308,NA,"NO",NA
"LOC644721",0,NA,NA,NA,NA,NA,"NO",NA
"LOC107986232",0,NA,NA,NA,NA,NA,"NO",NA
"DDIT4L",10.0613838283485,-0.426171937563283,0.954263364850069,-0.446597819072979,0.65516547057541,0.821353894470031,"NO",NA
"LOC101929353",0,NA,NA,NA,NA,NA,"NO",NA
"SNORA101A",0,NA,NA,NA,NA,NA,"NO",NA
"EMCN",0.263977675748233,1.59888307817134,4.06328542880248,0.393495142339178,0.693953811093511,NA,"NO",NA
"LOC105377345",0,NA,NA,NA,NA,NA,"NO",NA
"LINC01216",0,NA,NA,NA,NA,NA,"NO",NA
"LINC01218",0,NA,NA,NA,NA,NA,"NO",NA
"PPP3CA",1838.58844211984,0.439844803421415,0.241930466279768,1.81806289296685,0.0690545206686232,0.24544322860055,"NO",NA
"MIR8066",0.26159052058864,-1.29513245740309,4.0439757251261,-0.320262174017552,0.748769594980649,NA,"NO",NA
"MIR1255A",0.650835073076637,0.369023935767453,3.4399921605517,0.107274644401594,0.914571099284102,NA,"NO",NA
"FLJ20021",88.31333473061,0.661072718461537,0.412419747495156,1.60291237865447,0.108954000351173,0.314202344183403,"NO",NA
"LOC107986297",0,NA,NA,NA,NA,NA,"NO",NA
"BANK1",29.3111175128574,-0.0372799332648516,0.657454143872253,-0.0567034729529293,0.954781407452746,0.980054618581977,"NO",NA
"SLC39A8",68.2272343479071,-0.858983538722264,0.408135491396255,-2.10465288324628,0.0353215346725899,0.168492854554153,"NO",NA
"LOC105377621",1.56622156266788,-0.154708357717113,2.20386599815515,-0.0701986227141845,0.944035570537779,NA,"NO",NA
"LOC100419863",0.435159514922547,2.59751009000761,4.02443146230147,0.645435290509871,0.518645139933324,NA,"NO",NA
"NFKB1",1690.19910359725,-0.329170991049639,0.257155825451379,-1.28004485401742,0.200529361434322,0.439049994736901,"NO",NA
"LOC105377347",8.97029369383295,1.13529827076947,1.02913287486334,1.10316004716128,0.269957668095362,0.515004848601196,"NO",NA
"MANBA",582.765866152453,-0.449764286097665,0.234510517237807,-1.91788535284146,0.055125549873934,0.216629963062768,"NO",NA
"KRT8P46",21.7640256447336,1.89210051038171,0.746702692948434,2.53394092220366,0.0112787745158672,0.0908323806371407,"UP",NA
"LOC100288914",7.98455162436565,3.16388876853838,1.15640426187411,2.73597121080381,0.00621964671312587,0.0656023826400976,"UP",NA
"LOC100419096",5.7132862310445,2.57654408027124,1.52754426701433,1.68672302067373,0.0916566234132875,0.285672334967581,"NO",NA
